Price,High,Low,Open,Volume
1868.800048828125,1869.300048828125,1868.5,1868.699951171875,41743
1868.800048828125,1869.5999755859375,1868.5,1868.800048828125,33565
1868.9000244140625,1869.199951171875,1868.5,1868.5,28969
1869.800048828125,1870.0,1868.800048828125,1869.0,22094
1869.800048828125,1869.9000244140625,1869.199951171875,1869.800048828125,49588
1869.9000244140625,1869.9000244140625,1869.699951171875,1869.800048828125,23888
1869.9000244140625,1869.9000244140625,1869.4000244140625,1869.9000244140625,17719
1869.800048828125,1869.9000244140625,1869.0,1869.9000244140625,67971
1870.0,1870.0,1868.9000244140625,1869.5999755859375,39562
1869.9000244140625,1870.0,1869.5999755859375,1869.9000244140625,20485
1869.300048828125,1869.9000244140625,1868.0999755859375,1869.699951171875,105207
1869.5,1869.5,1868.9000244140625,1869.5,20179
1868.9000244140625,1869.9000244140625,1868.699951171875,1869.5,17321
1868.699951171875,1869.0,1868.0999755859375,1868.800048828125,26625
1867.4000244140625,1868.699951171875,1867.4000244140625,1868.699951171875,33303
1868.0,1868.800048828125,1867.800048828125,1868.0,13611
1868.300048828125,1868.9000244140625,1867.9000244140625,1868.0,23693
1868.199951171875,1869.0,1868.199951171875,1868.5,13541
1869.0,1869.0,1868.699951171875,1868.9000244140625,12294
1868.5999755859375,1869.0,1868.4000244140625,1869.0,26154
1868.800048828125,1868.9000244140625,1867.9000244140625,1868.5999755859375,24568
1868.9000244140625,1869.0,1868.199951171875,1868.800048828125,19637
1868.699951171875,1868.800048828125,1868.0999755859375,1868.800048828125,23573
1868.4000244140625,1868.9000244140625,1868.300048828125,1868.699951171875,13894
1868.5,1869.0,1868.0999755859375,1868.300048828125,24185
1868.0999755859375,1869.0,1867.9000244140625,1868.5,53547
1867.4000244140625,1868.0,1867.4000244140625,1867.9000244140625,44734
1868.4000244140625,1868.9000244140625,1867.199951171875,1867.5,62652
1868.0999755859375,1868.5,1867.9000244140625,1868.300048828125,15678
1868.300048828125,1868.5,1868.0999755859375,1868.0999755859375,13133
1868.0,1868.9000244140625,1868.0,1868.5,15125
1868.4000244140625,1868.9000244140625,1868.0,1868.699951171875,20032
1868.4000244140625,1868.9000244140625,1868.0999755859375,1868.4000244140625,14766
1868.699951171875,1869.0,1868.4000244140625,1868.5999755859375,20481
1868.5,1869.0,1868.5,1869.0,16082
1868.4000244140625,1868.699951171875,1868.199951171875,1868.5,16800
1868.300048828125,1869.0999755859375,1868.300048828125,1868.4000244140625,14720
1867.300048828125,1868.9000244140625,1867.300048828125,1868.4000244140625,89231
1867.4000244140625,1868.0,1867.0,1867.0999755859375,24987
1867.5999755859375,1868.0,1867.300048828125,1867.5999755859375,21816
1868.0,1868.5999755859375,1867.4000244140625,1867.5999755859375,36599
1868.0,1868.5,1867.800048828125,1868.0,41566
1867.9000244140625,1868.800048828125,1867.800048828125,1868.0999755859375,35814
1868.0,1868.300048828125,1867.800048828125,1867.9000244140625,53566
1868.0999755859375,1868.699951171875,1867.699951171875,1868.0,87935
1868.0999755859375,1869.0,1868.0,1868.0999755859375,36839
